title,content,source,date,url,category
SAP (XTRA:SAP) Expands Enterprise AI Push With New Partnerships And German Security Approval,"SAP (XTRA:SAP) is expanding its enterprise AI and cloud offering through partnerships such as Giotto.ai and Conduct, focusing on AI agents, automation, and AI-powered cloud modernization. The company recently secured new security certifications from German authorities, including BSI authorization, aimed at supporting data sovereignty and compliant cloud services in Germany. SAP is growing its ecosystem of certified partner integrations and endorsed apps, including project44 for real-time...",Yahoo Finance,"Thu, 18 Jun 2026 18:15:57 +0000",https://finance.yahoo.com/technology/ai/articles/sap-xtra-sap-expands-enterprise-181557901.html?.tsrc=rss,Financial News
One NZ Future-Proofs Its Oracle Estate and Accelerates AI Innovation with Rimini Street,"LAS VEGAS, June 18, 2026--Rimini Street, Inc. (Nasdaq: RMNI), the Software Support and Agentic AI ERP Company™ and the leading third-party support provider for Oracle, SAP and VMware software, today announced One New Zealand (NZ) is leveraging Rimini Street’s support and interoperability solutions to ensure its critical Oracle systems remain secure, stable and reliable, while enabling the organization to redirect investment and talent toward modernization and AI initiatives.",Yahoo Finance,"Thu, 18 Jun 2026 13:00:00 +0000",https://finance.yahoo.com/technology/ai/articles/one-nz-future-proofs-oracle-130000875.html?.tsrc=rss,Financial News
European Equities Traded in the US as American Depositary Receipts Rise in Wednesday Trading,European equities traded in the US as American depositary receipts were sharply higher late Wednesda,Yahoo Finance,"Wed, 17 Jun 2026 15:10:44 +0000",https://finance.yahoo.com/markets/world-indices/articles/european-equities-traded-us-american-151044153.html?.tsrc=rss,Financial News
"Conduct Raises $60 Million Series A Round from Index, ICONIQ, and SAP","The London-based AI startup enables large enterprises to understand and change the complex, heavily customised systems they operate on so businesses can move faster LONDON, UK / ACCESS Newswire / June 17, 2026 / Conduct today announced a $60 million ...",Yahoo Finance,"Wed, 17 Jun 2026 12:15:00 +0000",https://finance.yahoo.com/technology/ai/articles/conduct-raises-60-million-series-121500344.html?.tsrc=rss,Financial News
Ataccama joins Databricks Marketplace to extend data trust from source systems to AI,"Ataccama’s MCP Server, available now in the Databricks Marketplace, extends trusted data context from source systems through the Databricks platform to AI models and agentsBOSTON, June 16, 2026 (GLOBE NEWSWIRE) -- Ataccama, the data trust company, today announced a native integration with Databricks, the Data and AI company, to bring data quality, lineage, and governance signals from enterprise source systems, including SAP, Oracle, and mainframe environments, into the Databricks platform, helpi",Yahoo Finance,"Tue, 16 Jun 2026 13:03:00 +0000",https://finance.yahoo.com/technology/ai/articles/ataccama-joins-databricks-marketplace-extend-130300530.html?.tsrc=rss,Financial News
AI Frontier Models’ Potential Threats to SAP Systems Explored in Latest Onapsis Docuseries Episode Debuting June 25,"BOSTON, June 16, 2026--Onapsis, the global leader in SAP cybersecurity and compliance, will launch its latest episode, ""When AI Attacks SAP: How Mythos-like AI Models Can Hack SAP Applications,"" on June 25, as part of its inaugural docuseries, Hacking and Defending SAP Applications. The third episode comes at a critical time as bad actors are more aggressively exploring new ways to use the heft of frontier and open-source AI models to their advantage and gain access to critical business applicat",Yahoo Finance,"Tue, 16 Jun 2026 13:00:00 +0000",https://finance.yahoo.com/technology/ai/articles/ai-frontier-models-potential-threats-130000092.html?.tsrc=rss,Financial News
Pathlock Partners with NTT DATA Business Solutions to Deliver Managed SAP Cybersecurity Services Worldwide,"Pathlock, a leader in Identity and Access Governance and ERP Security, today announced a global strategic partnership with NTT DATA Business Solutions, a leading SAP Platinum partner for the global SME sector, to deliver a new generation of managed SAP cybersecurity services for enterprises worldwide.",Yahoo Finance,"Tue, 16 Jun 2026 13:00:00 +0000",https://finance.yahoo.com/technology/ai/articles/pathlock-partners-ntt-data-business-130000485.html?.tsrc=rss,Financial News
project44's Real-Time Multi-Modal Visibility Solution Now an SAP Endorsed App Available on SAP Store,"Delivers continuous carrier signal and AI-powered decision intelligence to further enrich SAP Business Network for LogisticsCHICAGO, June 16, 2026 (GLOBE NEWSWIRE) -- project44, a three-time SAP Pinnacle Award winner, announced today that its Real-Time Multi-Modal Visibility Data solution is now an SAP endorsed app, available for online purchase on SAP Store. SAP Endorsed Apps are a distinct category of solutions within SAP's partner ecosystem. These apps solve key customer challenges that provi",Yahoo Finance,"Tue, 16 Jun 2026 13:00:00 +0000",https://finance.yahoo.com/technology/articles/project44s-real-time-multi-modal-130000077.html?.tsrc=rss,Financial News
"As Demand for AI Execution Grows, enosix Launches arnold™","CINCINNATI, June 16, 2026--Enterprises are moving beyond AI pilots and experiments, and a clear pattern is emerging. The challenge is no longer getting AI to answer questions. The challenge is getting AI to execute, inside the systems and processes that define each business.",Yahoo Finance,"Tue, 16 Jun 2026 13:00:00 +0000",https://finance.yahoo.com/technology/ai/articles/demand-ai-execution-grows-enosix-130000879.html?.tsrc=rss,Financial News
AppZen Autonomous AP for SAP S/4HANA Cloud Private Edition Achieves SAP®-Certified for Clean Core with RISE with SAP,"AppZen, the leader in AI-powered finance operations, announced today that its Autonomous AP platform has achieved SAP®-certified for clean core with RISE with SAP for SAP S/4HANA Cloud Private Edition. The certification further strengthens AppZen's ability to help global enterprises modernize accounts payable operations while accelerating SAP transformation initiatives.",Yahoo Finance,"Tue, 16 Jun 2026 11:00:00 +0000",https://finance.yahoo.com/technology/ai/articles/appzen-autonomous-ap-sap-4hana-110000740.html?.tsrc=rss,Financial News
C&A Technology Appoints Jeff Copper as President to Lead Next Phase of Growth and Innovation,"C&amp;A Technology LLC (CAT), a leading provider of ERP consulting, digital transformation, AI automation, and managed services, today announced the appointment of Jeff Copper as President, effective immediately. INDIANAPOLIS, IN / ACCESS Newswire / June ...",Yahoo Finance,"Mon, 15 Jun 2026 17:37:00 +0000",https://finance.yahoo.com/sectors/technology/articles/c-technology-appoints-jeff-copper-173700911.html?.tsrc=rss,Financial News
"In HelloNation, Business Strategy Expert Martin Rowan of Naperville, IL, Details How SAP Misuse Impacts EBITDA and Enterprise Value","What happens when companies treat SAP as a reporting tool rather than a system of execution? That's the question answered in a HelloNation article featuring Business Strategy Expert Martin Rowan of Reveal USA, Inc. in Naperville, Illinois. The article explains how underusing SAP contributes to a slow but steady erosion of EBITDA, cash flow, and enterprise value—often without triggering any immediate alarms.",Yahoo Finance,"Mon, 15 Jun 2026 14:26:00 +0000",https://finance.yahoo.com/markets/stocks/articles/hellonation-business-strategy-expert-martin-142600171.html?.tsrc=rss,Financial News
"xSuite Recognized as ""A Strong Performer"" in Invoice Automation Software 2026 Report by Independent Research Firm","AHRENSBURG, Germany, June 15, 2026--xSuite Group, a leading provider of SAP-native finance and procurement automation solutions, has been named a Strong Performer in ""The Forrester Wave™: Accounts Payable Invoice Automation Software, Q2 2026"". xSuite believes that with its solid, customer-centric vision and a comprehensive approach to innovation, the inclusion in the prestigious report is a clear signal for xSuite’s ongoing path to growth. To get access to your complimentary copy of The Forreste",Yahoo Finance,"Mon, 15 Jun 2026 14:00:00 +0000",https://finance.yahoo.com/sectors/technology/articles/xsuite-recognized-strong-performer-invoice-140000398.html?.tsrc=rss,Financial News
SAP NS2® announces general availability for solution suite deployed in FedRAMP+ Impact Level 5 cloud environment,"Today, SAP National Security Services (SAP NS2®) announced that the Defense Information and Systems Agency (DISA) granted its provisional authorization (PA) of SAP S/4HANA Cloud Private Edition and SAP Business Technology Platform (SAP BTP). The DISA PA authorizes SAP NS2 to deploy these solutions within their U.S. Department of War (DOW) secure cloud environment certified at FedRAMP+ Impact Level 5 (FedRAMP+ IL5). This offering is tailored to DOW organizations in need of ERP and technology plat",Yahoo Finance,"Mon, 15 Jun 2026 13:30:00 +0000",https://finance.yahoo.com/sectors/technology/articles/sap-ns2-announces-general-availability-133000096.html?.tsrc=rss,Financial News
European Equities Traded in the US as American Depositary Receipts Increase in Friday Trading; Rise for Week,European equities traded in the US as American depositary receipts were trending higher late Friday,Yahoo Finance,"Fri, 12 Jun 2026 15:14:33 +0000",https://finance.yahoo.com/markets/world-indices/articles/european-equities-traded-us-american-151433271.html?.tsrc=rss,Financial News
SAP (XTRA:SAP) Stock Valuation After Recent Share Price Weakness,"SAP (XTRA:SAP) is back on investors’ radar after recent share price weakness. The stock is down 7% over the past week and 16% over the past 3 months, prompting closer attention to its fundamentals. See our latest analysis for SAP. These shorter term moves come after a period of weaker momentum, with the share price down 30.7% year to date and total shareholder return down 45.5% over one year, despite positive three and five year total shareholder returns. If recent volatility has you...",Yahoo Finance,"Fri, 12 Jun 2026 10:17:17 +0000",https://finance.yahoo.com/markets/stocks/articles/sap-xtra-sap-stock-valuation-101717519.html?.tsrc=rss,Financial News
European Equities Traded in US as ADRs Rise in Thursday Trading,European equities traded in the US as American depositary receipts rose late Thursday morning with t,Yahoo Finance,"Thu, 11 Jun 2026 15:09:49 +0000",https://finance.yahoo.com/markets/world-indices/articles/european-equities-traded-us-adrs-150949457.html?.tsrc=rss,Financial News
Victrola Enhances Financial Visibility and Operational Efficiency with SAP Cloud ERP implemented by Syskoplan Reply,"Syskoplan Reply, a Reply company specializing in SAP consulting, implementation, and managed services, partnered with Victrola, a leading consumer audio brand known for its heritage in record players and modern audio products, to modernize its ERP landscape and strengthen the operational foundation supporting its global growth.",Yahoo Finance,"Thu, 11 Jun 2026 14:00:00 +0000",https://finance.yahoo.com/sectors/technology/articles/victrola-enhances-financial-visibility-operational-140000566.html?.tsrc=rss,Financial News
SAP Shares Retreat After Oracle Unveils Aggressive AI Investment Plans (SAP),"SAP (NYSE:SAP) shares fell more than 4% after competitor Oracle (NYSE:ORCL) revealed fiscal 2027 capital expenditure plans that significantly exceeded analyst expectations, highlighting the escalating costs associated with competing in the artificial intelligence infrastructure market. Oracle’s shares dropped more than 10% in premarket trading on Thursday after the company announced it could spend as much as $95 billion on capital projects during fiscal 2027.",Yahoo Finance,"Thu, 11 Jun 2026 10:41:43 +0000",https://investorshub.advfn.com/market-news/article/30156/sap-shares-retreat-after-oracle-unveils-aggressive-ai-investment-plans-sap?.tsrc=rss,Financial News
Bosch and Stibo Systems partner for enterprise data transformation,"Bosch and Stibo Systems today announced a strategic partnership to support global enterprises in accelerating digital transformation initiatives and SAP S/4HANA implementations through scalable Master Data Management (MDM) solutions. The partnership reflects growing enterprise demand for trustworthy, AI-ready data foundations capable of supporting both operational excellence and emerging AI-driven business models.",Yahoo Finance,"Thu, 11 Jun 2026 10:30:00 +0000",https://finance.yahoo.com/sectors/technology/articles/bosch-stibo-systems-partner-enterprise-103000768.html?.tsrc=rss,Financial News
