title,content,source,date,url,category
SAP and Google Cloud deploy agentic commerce architecture,"<p>SAP and Google Cloud are deploying agentic commerce architecture to automate multi-agent marketing and retail operations at enterprise scale. SAP research indicates 78 percent of businesses consider AI essential for retaining customers in 2026. However, the same data reveals fewer than two in five companies share customer data across customer experience (37%) or CRM (39%) [&#8230;]</p>
<p>The post <a href=""https://www.artificialintelligence-news.com/news/sap-and-google-cloud-deploy-agentic-commerce-architecture/"">SAP and Google Cloud deploy agentic commerce architecture</a> appeared first on <a href=""https://www.artificialintelligence-news.com"">AI News</a>.</p>",Yahoo Finance,"Fri, 19 Jun 2026 14:02:20 +0000",https://www.artificialintelligence-news.com/news/sap-and-google-cloud-deploy-agentic-commerce-architecture/,Financial News
"e2e-assure introduces Cumulo, the U.K.’s only sovereign, AI-driven, zero-day SOC platform to secure IT and OT environments","<p>Built around digital twin technology and customer-dedicated AI models, Cumulo answers the recent announcement by GCHQ for AI Cyber Shield, enabling early identification of threats and vulnerabilities before incidents occur Abingdon, U.K., 19 June, – SOC-as-a-service provider, e2e-assure, today announced the launch of the updated Cumulo, the U.K.’s only sovereign, AI-first, IT/OT connected SOC platform, designed to help organisations defend [&#8230;]</p>
<p>The post <a href=""https://www.artificialintelligence-news.com/news/e2e-assure-introduces-cumulo-the-u-k-s-only-sovereign-ai-driven-zero-day-soc-platform-to-secure-it-and-ot-environments/"">e2e-assure introduces Cumulo, the U.K.’s only sovereign, AI-driven, zero-day SOC platform to secure IT and OT environments</a> appeared first on <a href=""https://www.artificialintelligence-news.com"">AI News</a>.</p>",Yahoo Finance,"Fri, 19 Jun 2026 09:57:55 +0000",https://www.artificialintelligence-news.com/news/e2e-assure-introduces-cumulo-the-u-k-s-only-sovereign-ai-driven-zero-day-soc-platform-to-secure-it-and-ot-environments/,Financial News
Computer vision deployments drive retail productivity gains,"<p>Computer vision deployments are driving retail productivity gains as operators automate physical shelf tracking to protect eroding margins. This hardware deployment directly addresses the persistent in-store execution failures currently costing the industry billions. A study authored by Coresight Research – in partnership with technology providers Simbe and RELEX Solutions – calculates the exact cost of [&#8230;]</p>
<p>The post <a href=""https://www.artificialintelligence-news.com/news/computer-vision-deployments-drive-retail-productivity-gains/"">Computer vision deployments drive retail productivity gains</a> appeared first on <a href=""https://www.artificialintelligence-news.com"">AI News</a>.</p>",Yahoo Finance,"Thu, 18 Jun 2026 15:57:46 +0000",https://www.artificialintelligence-news.com/news/computer-vision-deployments-drive-retail-productivity-gains/,Financial News
HSBC expands AI banking partnership with Google Cloud,"<p>HSBC has entered a multi-year partnership with Google Cloud to develop and deploy artificial intelligence tools across its global operations. Announced at Google Cloud Summit London 2026, the agreement covers work in wealth management, financial crime risk management, and internal decision support. HSBC will work with Google Cloud and Google DeepMind engineering teams on AI [&#8230;]</p>
<p>The post <a href=""https://www.artificialintelligence-news.com/news/hsbc-google-cloud-ai-partnership/"">HSBC expands AI banking partnership with Google Cloud</a> appeared first on <a href=""https://www.artificialintelligence-news.com"">AI News</a>.</p>",Yahoo Finance,"Thu, 18 Jun 2026 10:00:00 +0000",https://www.artificialintelligence-news.com/news/hsbc-google-cloud-ai-partnership/,Financial News
Microsoft sells OpenAI models in China. OpenAI and Anthropic won’t.,"<p>Microsoft has quietly become the main supplier of OpenAI models in China, selling the technology to the country&#8217;s largest internet companies even as OpenAI and Anthropic keep their own models out of the market on intellectual-property and misuse grounds. The arrangement, detailed this week by&#160;Bloomberg, hands Microsoft a position no other American AI vendor holds: [&#8230;]</p>
<p>The post <a href=""https://www.artificialintelligence-news.com/news/microsoft-sells-openai-models-china/"">Microsoft sells OpenAI models in China. OpenAI and Anthropic won&#8217;t.</a> appeared first on <a href=""https://www.artificialintelligence-news.com"">AI News</a>.</p>",Yahoo Finance,"Thu, 18 Jun 2026 09:00:00 +0000",https://www.artificialintelligence-news.com/news/microsoft-sells-openai-models-china/,Financial News
Google Cloud generative AI automates council planning operations,"<p>Government ministries are deploying Google Cloud generative AI across municipal agencies to automate council planning operations. Public sector administration handles vast volumes of unstructured data that delay infrastructure development. The UK central government established a target to construct 1.5 million new homes by 2029. Local planning authorities encounter administrative backlogs caused by dense paperwork, delaying [&#8230;]</p>
<p>The post <a href=""https://www.artificialintelligence-news.com/news/google-cloud-generative-ai-automates-council-planning-operations/"">Google Cloud generative AI automates council planning operations</a> appeared first on <a href=""https://www.artificialintelligence-news.com"">AI News</a>.</p>",Yahoo Finance,"Wed, 17 Jun 2026 10:59:42 +0000",https://www.artificialintelligence-news.com/news/google-cloud-generative-ai-automates-council-planning-operations/,Financial News
Insurers pivot AI strategy toward core risk underwriting,"<p>AI investments by insurers are now expected to generate tangible business value beyond mere efficiency. According to findings in the 2026 Evident AI Index, insurers are now embedding AI technologies into workflows that directly influence underwriting discipline and capital allocation. Christian Preece, Insurance Director at Evident, says: “For years, insurers have competed on AI ambition, [&#8230;]</p>
<p>The post <a href=""https://www.artificialintelligence-news.com/news/insurers-pivot-ai-strategy-toward-core-risk-underwriting/"">Insurers pivot AI strategy toward core risk underwriting</a> appeared first on <a href=""https://www.artificialintelligence-news.com"">AI News</a>.</p>",Yahoo Finance,"Tue, 16 Jun 2026 15:55:02 +0000",https://www.artificialintelligence-news.com/news/insurers-pivot-ai-strategy-toward-core-risk-underwriting/,Financial News
EU publishes its AI content labelling playbook ahead of the AI Act’s August deadline,"<p>The European Union has&#160;published&#160;its AI content labelling playbook, a voluntary Code of Practice meant to help companies meet transparency rules that become law across the bloc on August 2 onwards. The European Commission released the final Code on 10 June, setting out practical steps for the businesses that build and use generative AI to mark [&#8230;]</p>
<p>The post <a href=""https://www.artificialintelligence-news.com/news/ai-content-labelling-eu-code-of-practice/"">EU publishes its AI content labelling playbook ahead of the AI Act&#8217;s August deadline</a> appeared first on <a href=""https://www.artificialintelligence-news.com"">AI News</a>.</p>",Yahoo Finance,"Tue, 16 Jun 2026 10:00:00 +0000",https://www.artificialintelligence-news.com/news/ai-content-labelling-eu-code-of-practice/,Financial News
AI Red Teaming Explained: What It Is and Why You Need It,"<p>With AI adoption accelerating, testing systems under adversarial conditions has become increasingly important. It enables organisations to identify vulnerabilities before deployment and strengthen overall system safety. Explore what AI red teaming is, why it matters and the leading companies offering AI red teaming consulting services. What Is AI Red Teaming? AI red teaming tests artificial [&#8230;]</p>
<p>The post <a href=""https://www.artificialintelligence-news.com/news/ai-red-teaming-explained-what-it-is-and-why-you-need-it/"">AI Red Teaming Explained: What It Is and Why You Need It</a> appeared first on <a href=""https://www.artificialintelligence-news.com"">AI News</a>.</p>",Yahoo Finance,"Tue, 16 Jun 2026 08:06:43 +0000",https://www.artificialintelligence-news.com/news/ai-red-teaming-explained-what-it-is-and-why-you-need-it/,Financial News
How AI-Powered CMS Platforms Are Transforming Enterprise Content Operations,"<p>For years, enterprise content management was largely a publication tool. How do you get the right content, in the right format, to the right channel, without breaking workflows that span dozens of markets and hundreds of contributors? The answer was usually a combination of manual processes, siloed systems, and large coordination teams that grew historically [&#8230;]</p>
<p>The post <a href=""https://www.artificialintelligence-news.com/news/how-ai-powered-cms-platforms-are-transforming-enterprise-content-operations/"">How AI-Powered CMS Platforms Are Transforming Enterprise Content Operations</a> appeared first on <a href=""https://www.artificialintelligence-news.com"">AI News</a>.</p>",Yahoo Finance,"Tue, 16 Jun 2026 07:49:07 +0000",https://www.artificialintelligence-news.com/news/how-ai-powered-cms-platforms-are-transforming-enterprise-content-operations/,Financial News
